"Voucher No.","Date","Amount","Why it is flagged","Recommended action"
"EXP/25/001","2025-01-02","IDR 7366500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/002","2025-01-02","IDR 300000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"FT2601-0025","2025-01-02","USD 480.00","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry"
"JV/24-25/002","2025-01-02","IDR 300000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JV/24-25/003","2025-01-02","IDR 7366500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/003","2025-01-13","IDR 8000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/24-25/004","2025-01-13","IDR 8000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/004","2025-01-14","IDR 7000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JV/24-25/005","2025-01-14","IDR 7000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/005","2025-01-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/005","2025-01-31","USD 5.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/005","2025-01-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/25/006","2025-01-31","IDR 30000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
